customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score
44256,38,11,38,1,0,0,0,58,47958.0,4,41,48,2,1,2,1,9,31,7.949
46883,30,1,30,0,0,0,0,55,48606.0,2,23,36,2,4,3,2,11,33,11.437000000000001
32387,41,13,41,1,0,0,0,59,42152.0,4,39,48,1,0,1,1,11,29,7.462000000000001
25504,42,14,42,1,0,0,0,57,39788.0,3,21,24,2,3,0,0,15,27,0.0
35979,42,14,42,1,0,0,0,53,44365.0,6,41,48,3,2,3,1,5,41,7.806
29822,32,2,32,1,0,0,0,68,41128.0,7,38,48,0,0,0,0,6,24,0.0
36731,56,26,56,0,0,0,0,57,44432.0,5,36,48,2,0,0,0,13,29,0.0
8756,41,13,41,0,0,0,0,49,30969.0,7,41,48,3,1,0,0,11,38,0.0
112583,43,12,43,1,0,0,0,41,75001.0,6,24,36,4,4,4,38,20,37,45.265
18143,28,1,28,1,0,0,0,58,35457.0,7,-4,0,1,2,0,0,9,32,0.0
41469,16,0,16,1,0,0,0,68,46586.0,5,22,24,0,0,0,14,10,20,22.291
55653,46,17,46,1,0,0,0,63,53199.0,4,32,36,1,0,3,1,8,28,11.672
50886,57,26,57,1,0,0,0,41,51000.0,1,20,24,5,0,0,0,14,44,0.0
32870,24,0,24,1,0,0,0,56,42440.0,4,29,36,2,1,0,0,12,30,0.0
33069,42,13,42,1,0,0,0,44,42426.0,7,-6,0,4,1,0,0,15,39,0.0
5319,33,4,33,0,0,0,0,55,27577.0,6,7,12,2,1,0,0,7,36,0.0
50846,23,0,23,1,0,0,0,51,51023.0,7,29,36,3,1,3,2,7,41,10.527999999999999
8983,43,15,43,1,0,0,0,57,31035.0,6,-3,0,2,0,0,0,7,35,0.0
36577,39,8,39,1,0,0,0,70,44402.0,4,13,24,0,1,3,2,11,18,10.719000000000001
13704,42,6,42,0,0,0,0,44,33138.0,5,-6,0,4,0,0,0,11,43,0.0
31894,40,6,40,1,0,0,0,35,41959.0,2,12,24,6,0,2,2,13,51,9.308
48136,16,0,16,0,0,0,0,45,49836.0,4,32,36,4,1,2,1,10,44,7.566
35859,39,9,39,0,0,0,0,60,44427.0,6,-3,0,1,2,2,0,7,31,0.0
55728,27,0,27,0,0,0,0,62,53182.0,4,24,36,1,1,0,0,15,21,0.0
18607,51,24,51,1,0,0,0,57,35919.0,1,32,36,2,2,4,1,7,34,7.849
15254,27,0,27,1,0,0,0,72,34167.0,5,19,24,0,0,0,0,6,20,0.0
19640,18,0,18,0,0,0,0,74,36765.0,7,33,36,0,1,5,27,6,19,33.979
15033,29,0,29,1,0,0,0,44,33938.0,4,29,36,4,1,4,2,17,38,11.029000000000002
29836,56,29,56,0,0,0,0,58,41145.0,1,-4,0,1,0,0,0,7,34,0.0
24290,34,6,34,0,0,0,0,68,38903.0,7,-5,0,0,0,0,0,11,19,0.0
15065,17,0,17,0,0,0,0,49,33884.0,7,22,24,3,1,3,2,11,39,9.158
25462,32,3,32,1,0,0,0,45,39844.0,5,15,24,4,0,0,0,14,39,0.0
94027,37,9,37,1,0,0,0,61,67520.0,3,16,24,1,2,2,1,10,27,9.096
20400,57,24,57,0,0,0,0,59,37492.0,1,-1,0,1,0,0,0,9,30,0.0
56258,53,19,53,0,0,0,0,62,53318.0,3,22,24,1,2,1,3,2,35,11.994000000000002
49870,30,0,30,1,0,0,0,55,50690.0,6,9,12,2,3,3,2,9,34,8.385
39359,59,30,59,1,0,0,0,72,45675.0,2,14,24,0,1,1,1,11,16,0.0
82899,83,51,83,0,0,0,0,46,62854.0,2,27,36,4,2,3,2,10,42,8.469
16333,42,16,42,0,0,0,0,59,35081.0,4,40,48,1,2,2,1,12,28,9.238999999999999
43913,60,31,60,1,0,0,0,58,47942.0,5,22,24,1,0,0,0,9,32,0.0
31868,42,12,42,0,0,0,0,55,42002.0,2,15,24,2,3,3,2,15,29,11.665999999999999
10798,70,36,70,1,0,0,0,53,31933.0,6,30,36,3,0,0,0,11,35,0.0
58943,28,3,28,0,0,0,0,56,54619.0,4,41,48,2,0,3,1,12,30,10.312000000000001
31159,43,15,43,0,0,0,0,55,41787.0,4,9,12,2,1,3,1,13,31,11.069
48467,25,0,25,0,0,0,0,47,49948.0,7,30,36,4,1,0,0,5,47,0.0
39240,39,12,39,1,0,0,0,43,45716.0,2,20,24,4,3,3,1,12,43,10.203
49240,49,23,49,0,0,0,0,50,50216.0,2,34,36,3,0,4,1,8,40,8.82
56527,48,20,48,1,0,0,0,47,53378.0,2,-3,0,4,0,0,0,16,36,0.0
28397,44,13,44,0,0,0,0,63,40996.0,2,19,24,1,0,4,1,12,23,9.499
17899,57,31,57,1,0,0,0,52,35358.0,5,33,36,3,0,0,0,7,39,0.0
32630,58,29,58,0,0,0,0,57,42323.0,5,17,24,2,1,2,1,10,31,12.333
35583,42,16,42,0,0,0,0,60,44023.0,7,41,48,1,0,3,3,11,28,11.557
38187,33,0,33,0,0,0,0,58,45397.0,7,34,36,2,1,0,0,5,36,0.0
19623,39,13,39,1,0,0,0,51,36769.0,4,17,24,3,0,0,0,13,35,0.0
21416,43,12,43,0,0,0,0,50,38010.0,7,14,24,3,0,4,2,12,37,10.044
12811,46,18,46,1,0,0,0,46,32201.0,5,5,12,4,0,2,1,12,41,12.095999999999998
13322,33,0,33,1,0,0,0,49,32697.0,7,33,36,3,1,0,0,15,35,0.0
49448,38,10,38,0,0,0,0,55,50592.0,3,17,24,2,0,2,1,12,32,11.591
54859,45,15,45,1,0,0,0,33,52561.0,4,33,36,6,2,0,0,13,53,0.0
1607,21,0,21,0,0,0,0,59,23064.0,7,23,36,1,0,4,4,11,29,10.815999999999999
59240,30,0,30,1,0,0,0,40,54766.0,3,39,48,5,0,0,0,15,43,0.0
49387,23,0,23,1,0,1,0,61,50308.0,2,5,12,1,3,0,0,7,31,0.0
37926,45,18,45,0,0,0,0,54,45351.0,2,24,36,2,7,2,2,15,29,10.023
69249,47,19,47,1,0,0,0,59,57006.0,4,23,36,1,1,0,3,9,31,10.932
17637,39,14,39,0,0,0,0,47,35403.0,2,12,24,3,2,5,2,10,41,12.927
5626,17,0,17,0,0,0,0,58,28283.0,5,13,24,2,0,0,0,3,37,0.0
55370,56,25,56,1,0,0,0,50,52828.0,2,12,24,3,0,1,1,13,36,10.651
52641,41,14,41,1,0,0,0,57,51655.0,7,17,24,2,2,0,0,9,32,0.0
41795,38,8,38,0,0,0,0,54,46630.0,5,23,36,2,4,0,0,9,36,0.0
17024,34,3,34,0,0,0,0,58,35297.0,4,17,24,1,0,0,0,11,30,0.0
45025,47,22,47,1,0,0,0,38,48033.0,2,13,24,5,0,0,0,20,41,0.0
5324,24,0,24,1,0,0,0,60,27599.0,7,26,36,1,1,0,0,12,26,0.0
24658,84,56,84,1,0,0,0,46,39118.0,3,21,24,4,0,0,0,11,42,0.0
49820,43,13,43,1,0,0,0,50,50552.0,5,10,12,3,0,1,1,12,36,7.322
25402,63,34,63,1,0,0,0,43,39763.0,1,41,48,4,0,6,15,11,45,22.174
21404,41,14,41,1,0,0,0,62,37866.0,7,27,36,1,0,3,2,6,30,10.322000000000001
1192,33,3,33,1,0,0,0,51,21834.0,2,-3,0,3,2,1,0,10,37,0.0
22312,44,15,44,1,0,0,0,55,38052.0,6,11,24,2,0,0,0,13,31,0.0
28259,59,30,59,1,0,0,0,61,41016.0,2,21,24,1,2,2,2,9,28,10.385
51440,46,15,46,0,0,0,0,56,51321.0,6,23,36,2,0,3,2,6,37,8.748
49593,32,1,32,1,0,0,0,41,50630.0,3,29,36,4,3,3,2,8,49,12.649000000000001
6330,23,0,23,0,0,0,0,50,28288.0,3,40,48,3,1,2,1,10,39,9.166
53415,50,23,50,0,0,0,0,21,51902.0,1,11,24,8,2,0,0,27,50,0.0
38406,33,0,33,0,0,0,0,56,45478.0,2,35,48,2,4,0,0,15,28,0.0
16395,33,1,33,1,0,0,1,59,35069.0,6,19,24,1,0,6,18,8,32,24.555
19682,67,36,67,0,0,0,0,54,36889.0,3,12,24,2,1,2,1,12,33,7.396
15394,51,21,51,0,0,0,0,55,34494.0,5,-1,0,2,0,0,0,10,33,0.0
24646,61,30,61,1,0,0,0,42,39029.0,4,40,48,4,0,3,27,14,42,33.719
16705,56,27,56,0,0,0,0,63,35150.0,1,9,12,1,1,3,2,2,33,8.742
21642,43,15,43,0,0,0,0,45,38012.0,3,13,24,4,0,0,0,6,47,0.0
23926,40,6,40,0,0,0,0,43,38751.0,7,24,36,4,3,5,2,10,45,8.767000000000001
18487,46,14,46,1,0,0,0,36,35903.0,7,-3,0,5,0,0,0,17,46,0.0
14102,33,4,33,1,0,0,0,53,33342.0,7,31,36,2,0,6,20,14,31,26.86
6633,37,5,37,0,0,0,0,45,28708.0,3,-5,0,4,0,0,0,14,39,0.0
32634,46,17,46,0,0,0,0,52,42260.0,4,29,36,3,5,2,4,12,34,12.113
6628,46,13,46,1,0,0,0,49,28674.0,3,35,48,3,0,0,0,5,44,0.0
22766,44,13,44,1,0,0,0,40,38245.0,5,-2,0,5,2,0,0,14,44,0.0
4770,42,13,42,0,0,0,0,46,26970.0,4,34,36,4,0,0,0,15,38,0.0
38249,40,11,40,1,0,0,0,38,45364.0,7,36,48,5,0,4,1,15,46,7.393
79547,19,0,19,1,0,0,0,65,61817.0,6,37,48,0,0,3,3,13,20,12.658
15825,46,18,46,1,0,0,0,43,34847.0,5,41,48,4,4,3,1,14,42,7.752999999999999
663,74,46,74,1,0,0,0,72,19774.0,1,5,12,0,1,0,0,16,11,0.0
19456,36,0,36,1,0,0,0,21,36681.0,4,-6,0,8,0,0,0,13,65,0.0
101881,57,28,57,1,0,0,0,68,70235.0,5,12,24,0,0,3,3,7,23,9.782
42142,45,16,45,1,0,0,0,62,46630.0,2,13,24,1,1,0,0,19,18,0.0
90078,29,4,29,0,0,0,0,44,65327.0,4,41,48,4,1,4,5,16,38,13.648
36524,23,0,23,1,0,0,0,53,44358.0,6,13,24,3,1,0,0,13,32,0.0
931,64,33,64,1,0,0,0,41,20479.0,3,41,48,4,1,0,0,13,44,0.0
40205,27,0,27,0,0,0,0,63,46143.0,4,32,36,1,2,0,0,13,23,0.0
4890,37,8,37,1,0,0,0,70,26969.0,3,36,48,0,0,4,1,7,21,13.116
11628,50,26,50,1,0,0,0,31,31972.0,3,-4,0,6,2,0,0,17,51,0.0
